quadkey_z12,year,quarter,date,avg_download_mbps,avg_upload_mbps,avg_lat_ms,tests
033113112301,2019,1,2019-Q1,7.086,11.165,156.0,7
033113112310,2019,1,2019-Q1,3.581909090909091,3.796181818181818,133.1818181818182,27
033113112311,2019,1,2019-Q1,6.346666666666667,5.954851851851852,115.18518518518519,126
033113112313,2019,1,2019-Q1,5.509666666666667,4.0666,124.53333333333333,41
033113112321,2019,1,2019-Q1,9.644333333333334,5.535,54.333333333333336,8
033113112322,2019,1,2019-Q1,10.689666666666666,5.153666666666667,63.22222222222222,69
033113112330,2019,1,2019-Q1,2.5,0.5586,172.6,9
033113112331,2019,1,2019-Q1,2.496,0.009,145.0,1
033113113200,2019,1,2019-Q1,5.382586956521739,5.656010869565217,98.09782608695652,1373
033113113201,2019,1,2019-Q1,5.627553333333333,6.1084,95.02666666666667,2134
033113113202,2019,1,2019-Q1,4.754053191489362,5.757287234042553,95.81914893617021,1024
033113113203,2019,1,2019-Q1,5.465051724137931,6.4703793103448275,71.03448275862068,263
033113113210,2019,1,2019-Q1,8.389894736842106,5.899210526315789,97.28947368421052,206
033113113211,2019,1,2019-Q1,3.58925,1.7995,106.25,8
033113113212,2019,1,2019-Q1,3.149625,1.780875,167.75,101
033113113213,2019,1,2019-Q1,7.2545,4.988,83.5,2
033113113220,2019,1,2019-Q1,14.572,11.535,67.0,2
033113113221,2019,1,2019-Q1,3.545625,4.20175,96.875,14
033113113222,2019,1,2019-Q1,10.866,0.935,47.0,1
033113113223,2019,1,2019-Q1,9.936625,4.764625,79.625,10
033113113230,2019,1,2019-Q1,7.69995652173913,5.589869565217391,82.3913043478261,90
033113113231,2019,1,2019-Q1,2.2488571428571427,5.110571428571428,84.57142857142857,12
033113113232,2019,1,2019-Q1,9.3256,8.011800000000001,76.8,10
033113113233,2019,1,2019-Q1,4.32575,6.23875,65.0,4
033113113300,2019,1,2019-Q1,1.873,0.183,193.0,1
033113113301,2019,1,2019-Q1,23.718,2.475,37.0,1
033113113303,2019,1,2019-Q1,0.5835,1.9695,77.5,2
033113113310,2019,1,2019-Q1,2.15,1.943,169.0,1
033113113311,2019,1,2019-Q1,6.5495,1.8195,81.0,3
033113113313,2019,1,2019-Q1,4.132,2.153,88.0,2
033113113320,2019,1,2019-Q1,4.934571428571428,5.184142857142857,115.42857142857143,15
033113113321,2019,1,2019-Q1,2.6190666666666664,1.8460666666666665,115.13333333333334,279
033113113322,2019,1,2019-Q1,7.8275,17.728,131.5,13
033113113323,2019,1,2019-Q1,3.4466315789473683,3.9001052631578945,97.89473684210526,195
033113113330,2019,1,2019-Q1,5.956,5.544333333333333,240.33333333333334,3
033113113332,2019,1,2019-Q1,4.93575,4.47375,96.5,354
033113113333,2019,1,2019-Q1,2.6525,1.9725,91.0,4
033113121210,2019,1,2019-Q1,3.284,1.831,59.0,3
033113121212,2019,1,2019-Q1,6.1906923076923075,3.3840769230769228,98.6923076923077,39
033113121213,2019,1,2019-Q1,5.478818181818182,2.2432727272727275,168.0,39
033113121220,2019,1,2019-Q1,9.398200000000001,6.243399999999999,70.6,8
033113121221,2019,1,2019-Q1,4.132,1.574,39.0,1
033113121222,2019,1,2019-Q1,20.2242,8.588899999999999,52.8,37
033113121223,2019,1,2019-Q1,25.303,8.027,49.5,2
033113121230,2019,1,2019-Q1,4.148,1.642,124.16666666666667,19
033113121231,2019,1,2019-Q1,1.5336666666666667,2.114,111.66666666666667,13
033113121232,2019,1,2019-Q1,3.0618000000000003,1.9185999999999999,100.8,19
033113121303,2019,1,2019-Q1,4.525333333333333,2.2983333333333333,63.333333333333336,5
033113121310,2019,1,2019-Q1,8.796,1.885,47.0,1
033113121311,2019,1,2019-Q1,3.9175,2.555,93.5,2
033113121313,2019,1,2019-Q1,5.0365,3.681777777777778,79.44444444444444,79
033113121320,2019,1,2019-Q1,4.5282,4.554600000000001,81.1,54
033113121321,2019,1,2019-Q1,3.675,2.664,47.0,3
033113121322,2019,1,2019-Q1,2.825,1.592,92.0,3
033113121323,2019,1,2019-Q1,7.016,4.30525,74.0,6
033113121330,2019,1,2019-Q1,1.503,1.135,88.0,1
033113121331,2019,1,2019-Q1,6.90075,2.73375,95.0,6
033113121332,2019,1,2019-Q1,0.283,2.268,197.0,1
033113121333,2019,1,2019-Q1,7.337,3.443,137.6,5
033113123100,2019,1,2019-Q1,9.490216216216217,6.727783783783784,65.83783783783784,385
033113123101,2019,1,2019-Q1,20.448,7.707666666666667,61.666666666666664,5
033113123102,2019,1,2019-Q1,2.057,2.603,94.5,4
033113123103,2019,1,2019-Q1,7.248,3.224,93.0,1
033113123110,2019,1,2019-Q1,7.636888888888889,3.7791111111111113,106.44444444444444,46
033113123111,2019,1,2019-Q1,9.789142857142856,4.994357142857143,95.42857142857143,103
033113123112,2019,1,2019-Q1,16.039,4.267,75.0,18
033113123113,2019,1,2019-Q1,1.0506666666666666,1.419,123.0,7
033113123120,2019,1,2019-Q1,5.935,1.981,86.0,5
033113123122,2019,1,2019-Q1,6.738666666666667,2.1186666666666665,96.33333333333333,10
033113123130,2019,1,2019-Q1,2.524,1.417,49.0,3
033113123131,2019,1,2019-Q1,4.2574,2.0284,58.0,18
