quadkey_z12,download_2019-Q1,download_2019-Q2,download_2019-Q3,download_2019-Q4,download_2020-Q1,download_2020-Q2,download_2020-Q3,download_2020-Q4,download_2021-Q1,download_2021-Q2,download_2021-Q3,download_2021-Q4,download_2022-Q1,download_2022-Q2,download_2022-Q3,download_2022-Q4,download_2023-Q1,download_2023-Q2,download_2023-Q3,download_2023-Q4,download_2024-Q1,download_2024-Q2,download_2024-Q3,download_2024-Q4,download_2025-Q1,download_2025-Q2,upload_2019-Q1,upload_2019-Q2,upload_2019-Q3,upload_2019-Q4,upload_2020-Q1,upload_2020-Q2,upload_2020-Q3,upload_2020-Q4,upload_2021-Q1,upload_2021-Q2,upload_2021-Q3,upload_2021-Q4,upload_2022-Q1,upload_2022-Q2,upload_2022-Q3,upload_2022-Q4,upload_2023-Q1,upload_2023-Q2,upload_2023-Q3,upload_2023-Q4,upload_2024-Q1,upload_2024-Q2,upload_2024-Q3,upload_2024-Q4,upload_2025-Q1,upload_2025-Q2,latency_2019-Q1,latency_2019-Q2,latency_2019-Q3,latency_2019-Q4,latency_2020-Q1,latency_2020-Q2,latency_2020-Q3,latency_2020-Q4,latency_2021-Q1,latency_2021-Q2,latency_2021-Q3,latency_2021-Q4,latency_2022-Q1,latency_2022-Q2,latency_2022-Q3,latency_2022-Q4,latency_2023-Q1,latency_2023-Q2,latency_2023-Q3,latency_2023-Q4,latency_2024-Q1,latency_2024-Q2,latency_2024-Q3,latency_2024-Q4,latency_2025-Q1,latency_2025-Q2,wkt
033113112300,,,,0.3,,,1.0975,,65.441,48.267,27.4795,,,37.0195,27.923,31.339,,,58.201,24.991,69.9535,46.6855,30.56075,10.9345,60.849333333333334,50.459,,,,1.26,,,0.4545,,24.527,10.204,1.7255,,,12.632,15.43325,5.838,,,13.996,4.156,11.69,14.544,4.82275,6.7035,19.770333333333333,17.29,,,,69.0,,,142.5,,22.0,32.0,32.5,,,19.0,28.25,20.0,,,54.0,20.0,23.0,85.5,28.0,22.0,19.0,26.5,"POLYGON ((-0.966796875 35.67514743608468, -0.966796875 35.746512259918504, -1.0546875 35.746512259918504, -1.0546875 35.67514743608468, -0.966796875 35.67514743608468))"
033113112301,7.086,2.9936666666666665,7.550428571428571,2.1085,2.393,8.511,7.629111111111111,25.7736,17.13,19.08,11.7505,28.081799999999998,43.022166666666664,41.001,39.191,49.8515,44.506,38.9118,33.19766666666666,39.00075,,41.9365,31.5035,71.163,96.737,30.40525,11.165,5.711,9.697571428571429,14.791,5.6035,2.87,9.758222222222223,12.0016,6.661333333333333,8.87525,10.003916666666665,19.759400000000003,24.9395,15.589692307692308,23.3398125,20.42833333333333,18.705333333333332,33.638400000000004,15.196777777777777,21.24275,,19.831,12.1655,11.348333333333334,28.627,17.12225,156.0,96.33333333333333,86.71428571428571,147.5,83.5,78.0,35.22222222222222,28.2,33.833333333333336,23.75,27.75,14.2,17.166666666666668,18.692307692307693,19.75,19.5,142.33333333333334,17.8,20.88888888888889,20.0,,17.666666666666668,30.5,20.0,16.0,17.5,"POLYGON ((-0.87890625 35.67514743608468, -0.87890625 35.746512259918504, -0.966796875 35.746512259918504, -0.966796875 35.67514743608468, -0.87890625 35.67514743608468))"
033113112302,,,,9.1275,5.012,,6.7105,3.019,30.012,19.844,25.584,34.49133333333334,33.469,35.75075,24.905,33.6588,18.515,18.704,,21.925666666666668,35.535666666666664,100.54825,124.189,,,80.89366666666668,,,,2.863,1.8633333333333333,,3.3985,0.921,7.47325,18.708,6.72925,12.053,17.426,21.33675,8.471200000000001,12.1908,5.351,14.045,,23.110666666666667,21.154,16.8785,16.355,,,13.5,,,,36.5,97.66666666666667,,34.0,25.0,22.0,81.0,33.25,19.666666666666668,16.0,28.75,27.2,45.2,16.0,18.333333333333332,,20.0,18.666666666666668,25.5,20.0,,,22.0,"POLYGON ((-0.966796875 35.6037187406973, -0.966796875 35.67514743608468, -1.0546875 35.67514743608468, -1.0546875 35.6037187406973, -0.966796875 35.6037187406973))"
033113112303,,4.493333333333333,,7.762,5.113,7.785,2.792,18.80466666666667,35.6888,11.402666666666667,43.24675,43.935,40.585,40.440333333333335,102.43825,11.476,26.7965,1.685,30.209,10.538,11.774,10.4305,5.796,52.805,5.9125,2.488,,1.5693333333333332,,2.376,2.149,8.175,16.003,7.296333333333333,11.3536,2.464,8.88525,33.848,24.212,12.526666666666666,19.61075,9.6085,16.278,0.155,13.85,2.044,7.623,12.01,4.9745,14.373,0.5025,1.572,,97.33333333333333,,50.0,28.0,64.0,51.0,45.0,20.6,27.666666666666668,24.25,18.0,19.0,23.833333333333332,22.25,20.0,17.5,30.0,18.0,26.0,24.5,24.0,15.5,21.0,57.5,26.0,"POLYGON ((-0.87890625 35.6037187406973, -0.87890625 35.67514743608468, -0.966796875 35.67514743608468, -0.966796875 35.6037187406973, -0.87890625 35.6037187406973))"
033113112310,3.581909090909091,7.7535454545454545,4.099,9.260133333333334,10.696222222222223,5.622272727272727,7.383636363636364,8.983307692307692,13.38452380952381,21.79214285714286,19.76530769230769,18.676764705882352,15.137611111111111,32.88677777777778,18.55428125,46.23178260869565,39.7868125,39.45265,37.075125,28.907476190476192,47.308875,53.050714285714285,34.95247826086957,40.431,44.612928571428576,52.49594444444445,3.796181818181818,3.4736363636363636,2.38975,7.899133333333333,6.601,6.374272727272727,9.3725,7.514692307692307,8.471333333333334,9.67347619047619,10.43796153846154,5.606470588235294,12.644666666666666,11.095185185185183,9.68890625,13.639565217391304,11.854375,14.567450000000001,12.608708333333334,10.215047619047619,20.6800625,20.13514285714286,10.654695652173913,14.830875,14.44742857142857,12.940611111111112,133.1818181818182,78.72727272727273,107.375,81.66666666666667,57.22222222222222,80.54545454545455,33.22727272727273,34.0,32.285714285714285,22.19047619047619,23.576923076923077,25.294117647058822,20.88888888888889,31.14814814814815,34.53125,37.65217391304348,27.4375,32.4,27.291666666666668,33.23809523809524,21.625,21.523809523809526,27.565217391304348,22.3125,29.928571428571427,22.38888888888889,"POLYGON ((-0.791015625 35.67514743608468, -0.791015625 35.746512259918504, -0.87890625 35.746512259918504, -0.87890625 35.67514743608468, -0.791015625 35.67514743608468))"
033113112311,6.346666666666667,5.9162608695652175,5.76375,5.30159375,5.371,5.214060606060606,8.82265625,8.769117647058824,18.945552631578945,20.384833333333333,13.945325,22.181151515151516,23.029848484848483,25.326615384615383,22.590883720930233,29.75993939393939,24.100677419354838,26.574815789473682,26.133073170731706,28.115952380952383,27.926357142857142,43.2055,25.506925,38.2367027027027,39.2179375,38.957542857142855,5.954851851851852,6.820391304347826,6.0060714285714285,8.562,6.9621176470588235,6.757484848484848,9.8896875,6.651911764705882,8.675815789473685,10.626299999999999,10.28585,15.028424242424242,12.16209090909091,15.91146153846154,13.859069767441861,15.397121212121212,15.517354838709679,11.677394736842105,13.015024390243903,13.900547619047618,12.398452380952381,15.785842105263159,13.087425,13.905756756756757,14.8239375,14.3954,115.18518518518519,90.0,89.17857142857143,63.8125,82.94117647058823,70.3030303030303,51.0625,39.44117647058823,31.92105263157895,24.966666666666665,28.425,24.0,22.393939393939394,29.076923076923077,27.325581395348838,23.12121212121212,30.967741935483872,39.26315789473684,37.24390243902439,28.595238095238095,26.80952380952381,25.736842105263158,26.25,35.189189189189186,27.25,26.514285714285716,"POLYGON ((-0.703125 35.67514743608468, -0.703125 35.746512259918504, -0.791015625 35.746512259918504, -0.791015625 35.67514743608468, -0.703125 35.67514743608468))"
033113112312,,,,,,,,,3.481,,,,,,,2.365,,,,,10.828,,29.497,,,,,,,,,,,,5.298,,,,,,,0.47,,,,,3.933,,8.926,,,,,,,,,,,,17.0,,,,,,,41.0,,,,,20.0,,14.0,,,,"POLYGON ((-0.791015625 35.6037187406973, -0.791015625 35.67514743608468, -0.87890625 35.67514743608468, -0.87890625 35.6037187406973, -0.791015625 35.6037187406973))"
033113112313,5.509666666666667,6.824583333333333,10.14064705882353,13.3674,9.589894736842105,8.3781,15.485333333333333,15.415833333333333,20.25803448275862,19.484409090909093,17.192304347826088,25.935952380952383,27.10303846153846,33.51253846153846,31.377791666666667,44.02932,34.20031818181818,35.63626086956521,35.17219047619047,46.96333333333334,38.368,43.7165,30.405653846153847,29.438190476190478,31.70835,35.662333333333336,4.0666,5.41675,8.33935294117647,10.160266666666667,9.211105263157895,6.8083,14.998095238095239,10.30875,10.443689655172413,9.756045454545454,11.750782608695651,16.13842857142857,17.987115384615382,14.495192307692308,14.871333333333334,16.30288,17.832136363636366,12.050869565217392,12.776333333333334,19.535066666666665,18.472,14.279321428571428,12.419692307692308,10.423142857142857,13.49545,9.228333333333333,124.53333333333333,59.083333333333336,87.58823529411765,59.6,57.63157894736842,52.1,33.285714285714285,43.708333333333336,60.758620689655174,24.0,25.82608695652174,24.285714285714285,23.307692307692307,26.96153846153846,26.458333333333332,28.04,30.40909090909091,35.73913043478261,33.714285714285715,23.0,26.2,35.714285714285715,19.307692307692307,20.857142857142858,21.45,24.291666666666668,"POLYGON ((-0.703125 35.6037187406973, -0.703125 35.67514743608468, -0.791015625 35.67514743608468, -0.791015625 35.6037187406973, -0.703125 35.6037187406973))"
033113112320,,,1.737,9.5995,4.8,8.931,6.722666666666667,25.588,39.27,49.747,26.035,27.449,17.159,37.2735,16.131,14.851333333333335,45.415,29.3365,,3.208,29.422,38.323,24.363333333333333,63.61333333333334,15.127,18.69833333333333,,,1.089,13.505,4.528,5.873,4.0953333333333335,7.4545,17.86,5.867,12.3295,23.279,15.0705,10.549,9.3155,13.985333333333333,20.328666666666667,26.2265,,0.409,32.761,15.72,8.079666666666666,15.178666666666667,8.631,15.630333333333335,,,63.0,39.5,45.0,40.0,39.0,38.0,32.0,25.0,35.5,30.0,31.0,25.5,18.5,52.0,43.333333333333336,20.0,,39.0,16.0,27.0,35.0,26.666666666666668,26.0,26.666666666666668,"POLYGON ((-0.966796875 35.532226227703376, -0.966796875 35.6037187406973, -1.0546875 35.6037187406973, -1.0546875 35.532226227703376, -0.966796875 35.532226227703376))"
033113112321,9.644333333333334,3.7845,14.036,8.824444444444445,11.5185,13.696166666666667,16.235125,21.336333333333332,28.045,23.51188888888889,26.134714285714285,25.6169,32.95036363636364,36.67485714285714,25.739875,33.80925,31.599444444444444,22.424285714285713,30.962285714285713,35.2954,28.08157142857143,34.274,45.2984,26.731,34.32333333333334,51.94466666666666,5.535,3.9735,8.62125,11.632111111111112,7.30675,7.070833333333333,13.21,10.503,13.625538461538461,12.72188888888889,12.742285714285714,13.4344,18.031727272727274,13.79707142857143,9.140875,23.261666666666667,12.939666666666666,14.23057142857143,12.004428571428571,23.3785,12.482142857142858,17.36885714285714,12.4065,11.7463,15.66788888888889,15.336222222222222,54.333333333333336,47.0,63.625,54.55555555555556,81.75,88.0,30.875,28.333333333333332,23.307692307692307,27.22222222222222,27.857142857142858,28.2,19.636363636363637,39.357142857142854,29.25,23.833333333333332,55.333333333333336,22.428571428571427,23.571428571428573,33.2,20.071428571428573,19.142857142857142,26.9,21.7,17.555555555555557,17.77777777777778,"POLYGON ((-0.87890625 35.532226227703376, -0.87890625 35.6037187406973, -0.966796875 35.6037187406973, -0.966796875 35.532226227703376, -0.87890625 35.532226227703376))"
