admin_level,admin_code,admin_name,avg_download_mbps,avg_upload_mbps,median_download_mbps,median_upload_mbps,num_tiles,avg_latency_ms,median_latency_ms,num_tests,num_devices,year,quarter,date
ADM1,DZ-01,Adrar,4.200461538461538,4.786450549450549,3.137,3.454,91,114.79120879120879,109.0,365,138,2019,1,2019-Q1
ADM1,DZ-01,Adrar,4.5942248062015505,4.533682170542636,3.264,3.203,129,90.21705426356588,89.0,533,194,2019,2,2019-Q2
ADM1,DZ-01,Adrar,2.9194347826086955,3.511710144927536,1.8605,2.5715,138,94.05797101449275,91.0,558,222,2019,3,2019-Q3
ADM1,DZ-01,Adrar,3.6795437499999997,4.97624375,2.467,3.46,160,85.875,81.5,766,319,2019,4,2019-Q4
ADM1,DZ-01,Adrar,5.890666666666667,4.868156462585034,4.749,3.36,147,91.89795918367346,88.0,724,286,2020,1,2020-Q1
ADM1,DZ-01,Adrar,5.773345794392523,5.066598130841122,4.558,3.442,107,78.78504672897196,75.0,434,172,2020,2,2020-Q2
ADM1,DZ-01,Adrar,9.254192592592593,6.177259259259259,7.287,4.551,135,62.74074074074074,61.0,591,264,2020,3,2020-Q3
ADM1,DZ-01,Adrar,9.709506666666666,6.181760000000001,7.4015,4.755,150,58.08,56.0,733,302,2020,4,2020-Q4
ADM1,DZ-01,Adrar,12.015825870646767,7.156487562189055,8.244,5.044,201,60.407960199004975,60.0,981,392,2021,1,2021-Q1
ADM1,DZ-01,Adrar,17.9843625,7.33471875,11.1385,4.4525,160,53.39375,54.0,575,300,2021,2,2021-Q2
ADM1,DZ-01,Adrar,16.211067510548524,8.759835443037975,13.336,5.014,237,58.62447257383966,56.0,871,380,2021,3,2021-Q3
ADM1,DZ-01,Adrar,22.58256146179402,11.897056478405315,16.807,9.194,301,55.182724252491695,54.0,986,516,2021,4,2021-Q4
ADM1,DZ-01,Adrar,22.11429098360656,11.51877868852459,18.5455,9.948,244,49.46311475409836,49.0,894,399,2022,1,2022-Q1
ADM1,DZ-01,Adrar,22.06685909090909,11.919681818181818,17.604,9.6345,220,65.73181818181818,55.0,1020,452,2022,2,2022-Q2
ADM1,DZ-01,Adrar,21.88382075471698,12.147712264150943,14.5035,10.4615,212,61.533018867924525,54.5,633,336,2022,3,2022-Q3
ADM1,DZ-01,Adrar,26.578013559322034,14.340949152542374,18.432,12.199,295,79.71525423728814,63.0,1159,577,2022,4,2022-Q4
ADM1,DZ-01,Adrar,26.203069090909093,11.866229090909092,18.831,8.555,275,92.23636363636363,63.0,872,515,2023,1,2023-Q1
ADM1,DZ-01,Adrar,26.295286324786325,12.568183760683759,19.0595,10.1165,234,84.55982905982906,58.0,719,415,2023,2,2023-Q2
ADM1,DZ-01,Adrar,25.16689140271493,12.411429864253394,18.634,9.358,221,73.66968325791855,53.0,600,356,2023,3,2023-Q3
ADM1,DZ-01,Adrar,29.41408984375,12.796609375,20.486,10.456,256,66.703125,55.0,950,493,2023,4,2023-Q4
ADM1,DZ-01,Adrar,35.07297457627119,12.319377118644068,20.9745,9.6475,236,65.35593220338983,56.0,686,394,2024,1,2024-Q1
ADM1,DZ-01,Adrar,40.3831712962963,14.573037037037036,29.015,11.819,216,62.745370370370374,57.0,625,370,2024,2,2024-Q2
ADM1,DZ-01,Adrar,37.936243093922656,13.174486187845304,26.139,11.655,181,67.08839779005525,57.0,432,275,2024,3,2024-Q3
ADM1,DZ-01,Adrar,36.83170815450644,12.830587982832618,26.399,9.521,233,57.57081545064378,52.0,605,401,2024,4,2024-Q4
ADM1,DZ-01,Adrar,45.94201960784314,14.917794117647059,31.241,12.1365,204,58.02450980392157,50.0,561,325,2025,1,2025-Q1
ADM1,DZ-01,Adrar,35.985441767068274,12.968473895582328,26.512,9.515,249,68.51807228915662,54.0,659,398,2025,2,2025-Q2
ADM1,DZ-16,Algiers,7.570831853496116,6.500054384017758,6.309,6.2655,1802,45.79855715871254,34.0,30394,11195,2019,1,2019-Q1
ADM1,DZ-16,Algiers,8.64843251173709,7.2830369718309855,7.5315,7.004,1704,44.607394366197184,33.0,21337,8856,2019,2,2019-Q2
ADM1,DZ-16,Algiers,9.653662108262107,7.470352706552707,8.657,7.076,1755,46.52136752136752,33.0,25832,10722,2019,3,2019-Q3
ADM1,DZ-16,Algiers,10.1096702367531,7.8636984216459975,8.67,7.4835,1774,63.51578354002255,42.0,33911,12549,2019,4,2019-Q4
ADM1,DZ-16,Algiers,10.774918963616317,8.813608599779492,9.426,8.2015,1814,40.60970231532525,32.0,35592,13577,2020,1,2020-Q1
ADM1,DZ-16,Algiers,11.887915055653194,8.057759812536615,10.183,7.264,1707,33.31575864089045,27.0,31475,9142,2020,2,2020-Q2
ADM1,DZ-16,Algiers,14.341474464579901,9.69674574409665,12.725,9.118,1821,29.567819879187258,24.0,29652,11497,2020,3,2020-Q3
ADM1,DZ-16,Algiers,16.158903866809883,10.449253490870033,14.6515,10.0575,1862,29.491944146079483,25.0,32082,12755,2020,4,2020-Q4
ADM1,DZ-16,Algiers,17.628913480885313,10.530474346076458,16.357,10.1905,1988,28.586016096579478,24.0,36266,14883,2021,1,2021-Q1
ADM1,DZ-16,Algiers,21.268795309168443,10.914693496801705,19.298,10.7195,1876,27.44402985074627,24.0,30207,12852,2021,2,2021-Q2
ADM1,DZ-16,Algiers,21.92426712692512,11.217707381837494,20.079,10.879,1883,30.307488050982474,26.0,31547,13019,2021,3,2021-Q3
ADM1,DZ-16,Algiers,18.4896484375,10.778294791666667,16.1075,10.266,1920,32.89270833333333,28.0,34493,15356,2021,4,2021-Q4
ADM1,DZ-16,Algiers,19.14238813735692,11.325084287200832,16.2865,11.0005,1922,30.298647242455775,26.0,32930,14052,2022,1,2022-Q1
ADM1,DZ-16,Algiers,23.27608886565604,12.877455305802405,20.593,12.52,1913,28.748562467328803,25.0,32488,13967,2022,2,2022-Q2
ADM1,DZ-16,Algiers,21.791883011190237,12.896987283825025,18.9485,12.456,1966,30.186673448626653,26.0,32310,13821,2022,3,2022-Q3
ADM1,DZ-16,Algiers,22.436211518858308,12.68927624872579,18.657,12.1675,1962,32.61671763506626,26.0,37946,15588,2022,4,2022-Q4
ADM1,DZ-16,Algiers,24.53316369359916,13.382291710388248,21.1005,12.923,1906,31.147429171038826,25.0,30238,12880,2023,1,2023-Q1
ADM1,DZ-16,Algiers,26.789866525423726,13.562503177966102,22.603,12.971,1888,29.451271186440678,24.0,26507,11905,2023,2,2023-Q2
ADM1,DZ-16,Algiers,27.741552521008405,13.554012605042017,24.5515,12.861,1904,30.09926470588235,25.0,23515,11536,2023,3,2023-Q3
ADM1,DZ-16,Algiers,28.891342281879194,13.680478058853899,24.537,12.718,1937,30.22250903458957,24.0,26378,12302,2023,4,2023-Q4
ADM1,DZ-16,Algiers,31.884285714285713,14.532277978339351,27.881,13.585,1939,30.21248066013409,24.0,24876,11954,2024,1,2024-Q1
ADM1,DZ-16,Algiers,34.12064047866805,13.712382934443289,30.3145,13.091,1922,27.386576482830385,23.0,23487,11995,2024,2,2024-Q2
ADM1,DZ-16,Algiers,32.880712782745924,13.01282640715413,28.943,12.149,1901,29.665965281430825,24.0,21026,10695,2024,3,2024-Q3
ADM1,DZ-16,Algiers,32.272286472148544,13.326836604774536,27.931,12.338,1885,29.8657824933687,24.0,21276,11148,2024,4,2024-Q4
ADM1,DZ-16,Algiers,36.91048544755629,13.989341021416804,31.783,12.833,1821,25.895661724327294,21.0,16752,8888,2025,1,2025-Q1
ADM1,DZ-16,Algiers,38.40959365079365,13.973987301587302,32.643,12.951,1890,27.126455026455027,21.0,18676,9455,2025,2,2025-Q2
ADM1,DZ-23,Annaba,6.65005625,5.01585,4.313,4.08,160,64.75625,41.0,1039,326,2019,1,2019-Q1
ADM1,DZ-23,Annaba,5.628210526315789,6.260676691729324,4.085,5.684,133,62.40601503759399,38.0,593,241,2019,2,2019-Q2
ADM1,DZ-23,Annaba,6.584426356589147,5.163085271317829,4.206,4.938,129,42.992248062015506,37.0,654,255,2019,3,2019-Q3
ADM1,DZ-23,Annaba,4.407331034482759,6.077,3.114,5.465,145,60.36551724137931,40.0,731,291,2019,4,2019-Q4
ADM1,DZ-23,Annaba,4.27317880794702,5.061569536423841,2.395,4.903,151,60.09271523178808,39.0,762,331,2020,1,2020-Q1
ADM1,DZ-23,Annaba,6.485397350993377,5.344251655629139,3.638,3.483,151,36.12582781456954,33.0,696,302,2020,2,2020-Q2
ADM1,DZ-23,Annaba,9.25917032967033,6.766137362637362,6.1935,5.3325,182,30.807692307692307,27.0,1132,425,2020,3,2020-Q3
ADM1,DZ-23,Annaba,9.381681318681318,8.543175824175824,6.0135,6.7855,182,32.137362637362635,29.0,1404,473,2020,4,2020-Q4
ADM1,DZ-23,Annaba,10.448435185185184,10.290717592592593,7.57,8.4315,216,32.800925925925924,27.0,1423,597,2021,1,2021-Q1
ADM1,DZ-23,Annaba,15.100913513513513,11.498367567567568,10.815,10.047,185,30.156756756756756,24.0,1045,434,2021,2,2021-Q2
ADM1,DZ-23,Annaba,13.013889447236181,10.610150753768846,9.663,8.906,199,36.175879396984925,34.0,1125,485,2021,3,2021-Q3
ADM1,DZ-23,Annaba,12.247977578475336,11.463668161434978,8.339,10.15,223,39.81614349775785,33.0,1411,583,2021,4,2021-Q4
ADM1,DZ-23,Annaba,12.662763888888888,11.413902777777777,9.2505,10.529,216,32.75,26.0,1320,561,2022,1,2022-Q1
ADM1,DZ-23,Annaba,14.224120000000001,12.086128888888888,8.974,10.324,225,30.69333333333333,25.0,1790,622,2022,2,2022-Q2
ADM1,DZ-23,Annaba,16.502712041884816,13.554722513089006,11.506,13.051,191,29.790575916230367,24.0,1316,518,2022,3,2022-Q3
ADM1,DZ-23,Annaba,19.29607692307692,13.920769230769231,12.5405,13.013,234,37.71367521367522,29.0,1835,694,2022,4,2022-Q4
ADM1,DZ-23,Annaba,20.984099502487563,13.731402985074627,16.756,12.614,201,37.885572139303484,28.0,1338,507,2023,1,2023-Q1
ADM1,DZ-23,Annaba,24.986404145077717,14.202134715025906,15.731,12.585,193,33.66839378238342,28.0,1220,516,2023,2,2023-Q2
ADM1,DZ-23,Annaba,26.66632057416268,15.025129186602872,17.177,13.242,209,33.26315789473684,27.0,1052,537,2023,3,2023-Q3
ADM1,DZ-23,Annaba,25.022966981132075,15.060646226415095,16.369,13.146,212,47.15094339622642,34.0,1154,537,2023,4,2023-Q4
ADM1,DZ-23,Annaba,24.11766976744186,14.354786046511629,17.108,12.503,215,36.0046511627907,28.0,1254,593,2024,1,2024-Q1
ADM1,DZ-23,Annaba,31.099958333333333,13.80311111111111,23.415,12.818,216,28.944444444444443,25.0,1078,566,2024,2,2024-Q2
ADM1,DZ-23,Annaba,30.463026455026455,14.419666666666666,20.458,11.823,189,37.58201058201058,25.0,921,459,2024,3,2024-Q3
ADM1,DZ-23,Annaba,31.71019213973799,15.302637554585154,25.07,13.09,229,37.29257641921397,28.0,1180,551,2024,4,2024-Q4
ADM1,DZ-23,Annaba,27.949787330316745,12.434900452488687,18.846,10.068,221,47.828054298642535,32.0,1039,499,2025,1,2025-Q1
ADM1,DZ-23,Annaba,29.138178082191782,13.52644292237443,25.134,12.959,219,38.0,31.0,1001,547,2025,2,2025-Q2
