quadkey_z12,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name
033130213123,DZ-37,Tindouf,,,,Tinduf
033130213301,DZ-37,Tindouf,,,,Tinduf
033130213303,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213321,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213323,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231101,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231103,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231121,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231123,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231301,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231303,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231321,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231323,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233101,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233103,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233121,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233123,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233301,DZ-37,Tindouf,,,,Tinduf
033130213130,DZ-37,Tindouf,,,,Tinduf
033130213132,DZ-37,Tindouf,,,,Tinduf
033130213310,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213312,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213330,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213332,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231110,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231112,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231130,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231132,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231310,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231312,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231330,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231332,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233110,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233112,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233130,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233132,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233310,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213131,DZ-37,Tindouf,,,,Tinduf
033130213133,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213311,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213313,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213331,DZ-37,Tindouf,,Tindouf,,Tinduf
033130213333,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231111,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231113,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231131,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231133,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231311,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231313,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231331,DZ-37,Tindouf,,Tindouf,,Tinduf
033130231333,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233111,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233113,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233131,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233133,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233311,DZ-37,Tindouf,,Tindouf,,Tinduf
033130233313,DZ-37,Tindouf,,Tindouf,,Tinduf
033130302002,DZ-37,Tindouf,,,,Tinduf
